"SC","名称","市場","種別","日付","株価","前日比","前日比(％)","前日終値","始値","高値","安値","出来高","売買代金(千円)","時価総額(百万円)","値幅下限","値幅上限"
"1301","極洋","東証一部","水産・農林","20211013","2997","-13","-0.43","3010","3030","3030","2997","8100","24352","32752","2310","3710"
"1332","日本水産","東証一部","水産・農林","20211013","629","7","1.13","622","628","632","621","1052300","661338","196519","522","722"
"1333","マルハニチロ","東証一部","水産・農林","20211013","2615","5","0.19","2610","2612","2621","2595","65900","172222","137698","2110","3110"
"1352","ホウスイ","東証一部","卸売","20211013","940","-4","-0.42","944","937","940","937","700","657","7876","794","1094"
"1375","雪国まいたけ","東証一部","水産・農林","20211013","1471","-20","-1.34","1491","1485","1487","1471","88800","131240","58709","1191","1791"
"1376","カネコ種苗","東証一部","水産・農林","20211013","1443","3","0.21","1440","1440","1458","1437","5300","7645","16988","1140","1740"
"1377","サカタのタネ","東証一部","水産・農林","20211013","3500","60","1.74","3440","3465","3505","3455","129900","453313","165938","2740","4140"
"1379","ホクト","東証一部","水産・農林","20211013","1941","-17","-0.87","1958","1950","1955","1941","57200","111309","64750","1558","2358"
"1380","秋川牧園","JQS","水産・農林","20211013","1096","11","1.01","1085","1096","1096","1096","300","329","4580","785","1385"
"1381","アクシーズ","JQS","水産・農林","20211013","3345","45","1.36","3300","3330","3345","3300","900","2987","18791","2600","4000"
"1382","ホーブ","JQS","水産・農林","20211013","916","-5","-0.54","921","921","925","916","700","644","698","771","1071"
"1383","ベルグアース","JQS","水産・農林","20211013","2508","11","0.44","2497","2527","2527","2498","700","1762","3185","1997","2997"
"1384","ホクリヨウ","東証一部","水産・農林","20211013","760","-9","-1.17","769","766","771","756","11300","8606","6429","619","919"
"1400","ルーデン・ホールディングス","JQG","建設","20211013","246","-2","-0.81","248","249","251","245","22900","5665","3187","168","328"
"1401","エムビーエス","東証マザ","建設","20211013","543","12","2.26","531","528","546","528","43800","23544","4198","431","631"
"1407","ウエストホールディングス","JQS","建設","20211013","5020","0","0","5020","4995","5140","4985","342700","1733057","231058","4020","6020"
"1413","ヒノキヤグループ","東証一部","建設","20211013","2193","21","0.97","2172","2200","2204","2174","9800","21462","29770","1672","2672"
"1414","ショーボンドホールディングス","東証一部","建設","20211013","4810","-35","-0.72","4845","4825","4845","4805","110500","532787","272944","4145","5550"
"1417","ミライト・ホールディングス","東証一部","建設","20211013","2171","2","0.09","2169","2158","2177","2152","150300","326010","235174","1669","2669"
"1418","インターライフホールディングス","JQS","建設","20211013","207","5","2.48","202","201","207","199","46200","9351","4142","122","282"
"1419","タマホーム","東証一部","建設","20211013","2286","-214","-8.56","2500","2524","2573","2271","3451100","8056530","67336","2000","3000"
"1420","サンヨーホームズ","東証一部","建設","20211013","725","-2","-0.28","727","727","729","723","3900","2830","9150","577","877"
"1429","日本アクア","東証一部","建設","20211013","575","-5","-0.86","580","579","579","571","17900","10277","19987","480","680"
"1430","ファーストコーポレーション","東証一部","建設","20211013","799","-16","-1.96","815","809","810","799","33500","26900","10677","665","965"
"1431","Lib_Work","東証マザ","建設","20211013","910","-7","-0.76","917","906","920","906","35700","32636","21196","767","1067"
"1433","ベステラ","東証一部","建設","20211013","1429","-17","-1.18","1446","1449","1449","1420","41100","58753","12218","1146","1746"
"1434","JESCOホールディングス","東証二部","建設","20211013","558","10","1.82","548","546","572","544","168000","94073","3711","448","648"
"1435","Robot_Home","東証一部","建設","20211013","261","-17","-6.12","278","276","276","261","1358700","361354","23784","198","358"
"1436","フィット","東証マザ","建設","20211013","974","-38","-3.75","1012","1006","1013","973","23900","23670","4172","712","1312"
"1439","安江工務店","JQS","建設","20211013","1095","12","1.11","1083","1099","1099","1083","1200","1314","1448","783","1383"
"1443","技研ホールディングス","東証二部","建設","20211013","255","1","0.39","254","253","256","252","14100","3564","4141","174","334"
"1446","キャンディル","東証一部","建設","20211013","522","-8","-1.51","530","529","529","521","18300","9590","5598","430","630"
"1447","ITbookホールディングス","東証マザ","建設","20211013","449","-24","-5.07","473","471","471","446","716300","326553","9684","393","553"
"1448","スペースバリューホールディングス","東証一部","建設","20211013","837","-15","-1.76","852","852","853","834","65100","54737","29761","702","1002"
"1450","田中建設工業","JQS","建設","20211013","2085","-15","-0.71","2100","2091","2100","2081","1700","3557","9069","1600","2600"
"1451","KHC","東証二部","建設","20211013","627","-3","-0.48","630","630","630","627","11500","7242","2486","530","730"
"1491","中外鉱業","東証二部","非鉄金属","20211013","31","0","0","31","32","32","31","211500","6638","8982","1","61"
"1514","住石ホールディングス","東証一部","鉱業","20211013","148","-14","-8.64","162","158","158","147","5079800","769617","8716","112","212"
"1515","日鉄鉱業","東証一部","鉱業","20211013","6520","-70","-1.06","6590","6590","6590","6450","13000","84551","54457","5590","7590"
"1518","三井松島ホールディングス","東証一部","鉱業","20211013","1496","-3","-0.2","1499","1501","1558","1486","487000","737659","19544","1199","1799"
"1605","INPEX","東証一部","鉱業","20211013","979","-3","-0.31","982","973","982","961","14304600","13932714","1431615","832","1132"
"1662","石油資源開発","東証一部","鉱業","20211013","2250","-12","-0.53","2262","2258","2267","2223","183700","413153","128598","1762","2762"
"1663","K＆Oエナジーグループ","東証一部","鉱業","20211013","1604","-4","-0.25","1608","1610","1623","1590","60000","96367","48659","1208","2008"
"1711","SDSホールディングス","東証二部","建設","20211013","411","0","0","411","410","411","404","4700","1918","2432","331","491"
"1712","ダイセキ環境ソリューション","東証一部","建設","20211013","1898","-46","-2.37","1944","1930","1945","1878","354400","673767","31938","1544","2344"
"1716","第一カッター興業","東証一部","建設","20211013","1272","9","0.71","1263","1265","1272","1255","12400","15656","15264","963","1563"
